Hookup,BillingDate,Reading,Type,ReadDate,Ref,AddedUse,AddUseHow,*,*
100310,06/21/20,25.00,R,000000, ,.00,0,*
100311,06/21/20,178.00,R,000000, ,.00,0,*
100312,20100420,37.00,R,000000, ,.00,0,*
100313,20110420,53.00,R,000000, ,.00,0,*
100314,06/21/20,11.00,R,000000, ,.00,0,*
100315,20060020,74.00,R,000000, ,.00,0,*
100316,06/21/20,58.00,R,000000, ,.00,0,*
100317,20041020,32.00,R,000000, ,.00,0,*
100318,20070320,15.00,R,000000, ,.00,0,*
100319,20050920,86.00,R,000000, ,.00,0,*
100320,06/21/20,84.00,R,000000, ,.00,0,*
100320,20000020,84.00,R,000000, ,.00,0,*
100321,06/21/20,9.00,R,000000, ,.00,0,*
100322,06/21/20,.00,R,000000, ,.00,0,*
100323,20051120,30.00,R,000000, ,.00,0,*
100324,06/21/20,7.00,R,000000, ,.00,0,*
100325,06/21/20,53.00,R,000000, ,.00,0,*
100326,06/21/20,67.00,R,000000, ,.00,0,*
100328,06/21/20,13.00,R,000000, ,.00,0,*
100328,20000020,13.00,R,000000, ,.00,0,*
100329,06/21/20,40.00,R,000000, ,.00,0,*
100330,06/21/20,7.00,R,000000, ,.00,0,*
100331,06/21/20,39.00,R,000000, ,.00,0,*
100332,06/21/20,37.00,R,000000, ,.00,0,*
100333,06/21/20,22.00,R,000000, ,.00,0,*
100334,06/21/20,35.00,R,000000, ,.00,0,*
100335,20060120,23.00,R,000000, ,.00,0,*
100336,06/21/20,41.00,R,000000, ,.00,0,*
100338,06/21/20,48.00,R,000000, ,.00,0,*
100339,06/21/20,56.00,R,000000, ,.00,0,*
100340,06/21/20,17.00,R,000000, ,.00,0,*
100341,06/21/20,5.00,R,000000, ,.00,0,*
100342,06/21/20,40.00,R,000000, ,.00,0,*
100343,06/21/20,267.00,R,000000, ,.00,0,*
100344,20100620,4.00,R,000000, ,.00,0,*
100345,20000020,6.00,R,000000, ,.00,0,*
100346,06/21/20,48.00,R,000000, ,.00,0,*
100347,20140920,74.00,R,000000, ,.00,0,*
100348,06/21/20,.00,R,000000, ,.00,0,*
135,20070220,21.00,R,000000, ,.00,0,*
